fund,Group,Underlying,Ex-Date,Pay Date,Price,Price ($),Price as of,Est. Dividend,Est. Dividend ($),Est. Range,EstLow,EstHigh,Fwd Yield (Ann.),IV_Rank_Self_0_100,IV_Percentile_Self_0_1,RV30,IV-RV Gap (%),IV_RV_Gap_Pct,Hist Range (13m/52w),HistLow,HistHigh,HistN,HistLabel,Days to Ex
BABO,B,BABA,2025-09-12,2025-09-15,16.06,16.059999465942383,2025-09-05 13:30 UTC,$0.72,0.7190464520809335,$0.65-$0.79,0.6471418068728402,0.7909510972890269,58.2%,,,0.49144420260957916,,,$0.44-$1.06,0.4422,1.0585999999999998,13,15-85pct_13m,6
CHPY,Weekly,SPY,2025-09-12,2025-09-15,52.61,52.61000061035156,2025-09-05 13:30 UTC,$0.38,0.38420288857400153,$0.35-$0.42,0.3457825997166014,0.4226231774314017,38.0%,,,0.10624943297670557,,,$0.36-$0.41,0.363,0.406,21,15-85pct_52w,6
DIPS,B,NVDA,2025-09-12,2025-09-15,6.69,6.686999797821045,2025-09-05 13:30 UTC,$0.19,0.1948681756467351,$0.18-$0.21,0.1753813580820616,0.2143549932114086,37.9%,,,0.24980227107579772,,,$0.27-$0.65,0.2694,0.6467999999999999,13,15-85pct_13m,6
FBY,B,META,2025-09-12,2025-09-15,16.45,16.450000762939453,2025-09-05 13:30 UTC,$0.55,0.553544257337727,$0.50-$0.61,0.49818983160395436,0.6088986830714999,43.7%,,,0.3914345288931232,,,$0.49-$0.86,0.4891,0.8638999999999999,18,15-85pct_13m,6
GDXY,B,GDX,2025-09-12,2025-09-15,16.48,16.479999542236328,2025-09-05 13:30 UTC,$0.64,0.6407119912121583,$0.58-$0.70,0.5766407920909424,0.7047831903333741,50.5%,,,0.273291812247798,,,$0.37-$0.72,0.3744,0.7191,15,15-85pct_13m,6
GPTY,Weekly,QQQ,2025-09-12,2025-09-15,43.95,43.95000076293945,2025-09-05 13:30 UTC,$0.30,0.29514704075380355,$0.27-$0.32,0.2656323366784232,0.3246617448291839,34.9%,,,0.13426042116988168,,,$0.27-$0.32,0.269,0.3165,31,15-85pct_52w,6
JPMO,B,JPM,2025-09-12,2025-09-15,16.63,16.6299991607666,2025-09-05 13:30 UTC,$0.29,0.2914809427301321,$0.26-$0.32,0.2623328484571189,0.3206290370031453,22.8%,,,0.1775543570966067,,,$0.29-$0.54,0.28914999999999996,0.5401,18,15-85pct_13m,6
LFGY,Weekly,SPY,2025-09-12,2025-09-15,33.99,33.9900016784668,2025-09-05 13:30 UTC,$0.41,0.4103122806268956,$0.37-$0.45,0.36928105256420607,0.4513435086895852,62.8%,,,0.10624943297670557,,,$0.43-$0.57,0.4286,0.566,33,15-85pct_52w,6
MARO,B,MARA,2025-09-12,2025-09-15,18.00,18.0,2025-09-05 13:30 UTC,$0.91,0.9111007646430125,$0.82-$1.00,0.8199906881787112,1.0022108411073138,65.8%,,,0.41357526130783195,,,$1.26-$2.32,1.2612,2.3175999999999997,9,15-85pct_13m,6
MRNY,B,MRNA,2025-09-12,2025-09-15,1.81,1.809999942779541,2025-09-05 13:30 UTC,$0.08,0.08213970967785196,$0.07-$0.09,0.07392573871006676,0.09035368064563716,59.0%,,,0.4827967316965842,,,$0.16-$0.62,0.15735,0.6218499999999998,18,15-85pct_13m,6
NVDY,B,NVDA,2025-09-12,2025-09-15,16.11,16.110000610351562,2025-09-05 13:30 UTC,$0.70,0.6982995322407111,$0.63-$0.77,0.62846957901664,0.7681294854647822,56.3%,,,0.24980227107579772,,,$0.81-$2.01,0.8100999999999999,2.0073499999999993,18,15-85pct_13m,6
PLTY,B,PLTR,2025-09-12,2025-09-15,59.85,59.849998474121094,2025-09-05 13:30 UTC,$4.85,4.849723733541229,$4.36-$5.33,4.364751360187106,5.334696106895352,105.3%,,,0.4649870657617962,,,$2.77-$6.49,2.7715,6.491,11,15-85pct_13m,6
PYPY,B,PYPL,2025-09-12,2025-09-15,11.09,11.09000015258789,2025-09-05 13:30 UTC,$0.31,0.31348217920615157,$0.28-$0.34,0.2821339612855364,0.3448303971267668,36.7%,,,0.3478425859639108,,,$0.35-$0.79,0.34605,0.7918499999999998,18,15-85pct_13m,6
QDTY,Weekly,QQQ,2025-09-12,2025-09-15,43.78,43.78099822998047,2025-09-05 13:30 UTC,$0.19,0.18717846806222252,$0.17-$0.21,0.16846062125600028,0.20589631486844479,22.2%,,,0.13426042116988168,,,$0.19-$0.32,0.191,0.32245,28,15-85pct_52w,6
RDTY,Weekly,IWM,2025-09-12,2025-09-15,44.69,44.691001892089844,2025-09-05 13:30 UTC,$0.43,0.43111608721230826,$0.39-$0.47,0.38800447849107744,0.47422769593353914,50.2%,,,0.1935157147533127,,,$0.24-$0.45,0.24459999999999998,0.45,25,15-85pct_52w,6
SDTY,Weekly,SPY,2025-09-12,2025-09-15,44.73,44.72600173950195,2025-09-05 13:30 UTC,$0.19,0.18583557426355532,$0.17-$0.20,0.16725201683719979,0.20441913168991085,21.6%,,,0.10624943297670557,,,$0.16-$0.27,0.1616,0.27280000000000004,29,15-85pct_52w,6
ULTY,Weekly,SPY,2025-09-12,2025-09-15,5.49,5.489999771118164,2025-09-05 13:30 UTC,$0.09,0.08597751124941688,$0.08-$0.09,0.0773797601244752,0.09457526237435858,81.4%,,,0.10624943297670557,,,$0.09-$0.88,0.092,0.8765999999999995,39,15-85pct_52w,6
YMAG,Weekly,SPY,2025-09-12,2025-09-15,15.39,15.390000343322754,2025-09-05 13:30 UTC,$0.09,0.09365542853638506,$0.08-$0.10,0.08428988568274656,0.10302097139002357,31.6%,,,0.10624943297670557,,,$0.08-$0.28,0.0834,0.28,57,15-85pct_52w,6
YMAX,Weekly,QQQ,2025-09-12,2025-09-15,12.53,12.529999732971191,2025-09-05 13:30 UTC,$0.11,0.11146645094153168,$0.10-$0.12,0.10031980584737851,0.12261309603568486,46.3%,,,0.13426042116988168,,,$0.13-$0.24,0.13240000000000002,0.2428,57,15-85pct_52w,6
ABNY,C,ABNB,2025-09-18,2025-09-19,10.11,10.11299991607666,2025-09-05 13:30 UTC,$0.28,0.2751859096354929,$0.25-$0.30,0.2476673186719436,0.3027045005990422,35.4%,,,0.35551973953039995,,,$0.36-$0.80,0.3648,0.79525,14,15-85pct_13m,12
AMDY,C,AMD,2025-09-18,2025-09-19,7.39,7.389999866485596,2025-09-05 13:30 UTC,$0.42,0.41776071750454064,$0.38-$0.46,0.3759846457540866,0.45953678925499475,73.5%,,,0.4786558796337825,,,$0.32-$0.91,0.32215,0.91,18,15-85pct_13m,12
CONY,C,COIN,2025-09-18,2025-09-19,6.81,6.809999942779541,2025-09-05 13:30 UTC,$0.34,0.34425469806584014,$0.31-$0.38,0.30982922825925613,0.3786801678724242,65.7%,,,0.6518058869432032,,,$0.57-$1.84,0.5702,1.8442499999999997,18,15-85pct_13m,12
CVNY,C,CVNA,2025-09-18,2025-09-19,41.35,41.349998474121094,2025-09-05 13:30 UTC,$2.51,2.508712897220511,$2.26-$2.76,2.25784160749846,2.759584186942562,78.9%,,,0.5798737819478242,,,$2.01-$3.98,2.0131,3.9800999999999997,7,15-85pct_13m,12
DRAY,C,DKNG,2025-09-18,2025-09-19,52.11,52.10900115966797,2025-09-05 13:30 UTC,$2.14,2.1418205322276194,$1.93-$2.36,1.9276384790048575,2.3560025854503817,53.4%,,,0.30452206532131026,,,$2.19-$2.19,2.194,2.194,1,15-85pct_13m,12
FIAT,C,COIN,2025-09-18,2025-09-19,3.27,3.2699999809265137,2025-09-05 13:30 UTC,$0.14,0.14304273340813511,$0.13-$0.16,0.12873846006732162,0.15734700674894864,56.9%,,,0.6518058869432032,,,$0.26-$1.47,0.26135,1.4719999999999995,14,15-85pct_13m,12
HOOY,C,HOOD,2025-09-18,2025-09-19,62.22,62.220001220703125,2025-09-05 13:30 UTC,$3.49,3.486902864908019,$3.14-$3.84,3.1382125784172175,3.8355931513988213,72.9%,,,0.47670264203545665,,,$3.55-$6.72,3.5524,6.72025,4,15-85pct_13m,12
MSFO,C,MSFT,2025-09-18,2025-09-19,17.04,17.040000915527344,2025-09-05 13:30 UTC,$0.32,0.3200407363974909,$0.29-$0.35,0.2880366627577418,0.35204481003724003,24.4%,,,0.19160036498485117,,,$0.35-$0.54,0.3494,0.5368,18,15-85pct_13m,12
NFLY,C,NFLX,2025-09-18,2025-09-19,17.20,17.200000762939453,2025-09-05 13:30 UTC,$0.46,0.4554989632702854,$0.41-$0.50,0.40994906694325683,0.5010488595973139,34.4%,,,0.2146145246856678,,,$0.43-$0.89,0.43274999999999997,0.8911,18,15-85pct_13m,12
AIYY,D,AI,2025-09-25,2025-09-26,2.52,2.5199999809265137,2025-09-05 13:30 UTC,$0.10,0.09625915405622779,$0.09-$0.11,0.08663323865060502,0.10588506946185057,49.7%,,,0.9629184168403644,,,$0.21-$0.79,0.20795,0.7857499999999998,18,15-85pct_13m,19
AMZY,D,AMZN,2025-09-25,2025-09-26,15.28,15.279999732971191,2025-09-05 13:30 UTC,$0.49,0.48639018025795744,$0.44-$0.54,0.4377511622321617,0.5350291982837532,41.4%,,,0.35306048343425467,,,$0.48-$0.90,0.48169999999999996,0.9033999999999999,18,15-85pct_13m,19
APLY,D,AAPL,2025-09-25,2025-09-26,13.57,13.569999694824219,2025-09-05 13:30 UTC,$0.35,0.3486837804025303,$0.31-$0.38,0.3138154023622773,0.38355215844278334,33.4%,,,0.2676719064520722,,,$0.31-$0.42,0.3075,0.4154,18,15-85pct_13m,19
DISO,D,DIS,2025-09-25,2025-09-26,13.32,13.321999549865723,2025-09-05 13:30 UTC,$0.33,0.32758074256291847,$0.29-$0.36,0.2948226683066266,0.3603388168192104,32.0%,,,0.18961690134844822,,,$0.31-$0.61,0.30835,0.6134499999999999,18,15-85pct_13m,19
MSTY,D,MSTR,2025-09-25,2025-09-26,15.62,15.619999885559082,2025-09-05 13:30 UTC,$0.92,0.916696023009431,$0.83-$1.01,0.8250264207084879,1.008365625310374,76.3%,,,0.5422495400032138,,,$1.29-$3.55,1.2919,3.553149999999999,18,15-85pct_13m,19
SMCY,D,SMCI,2025-09-25,2025-09-26,14.36,14.359999656677246,2025-09-05 13:30 UTC,$0.99,0.9934725250011206,$0.89-$1.09,0.8941252725010086,1.0928197775012327,89.9%,,,0.7534559133995371,,,$1.47-$2.26,1.4702,2.2561999999999998,12,15-85pct_13m,19
WNTR,D,MSTR,2025-09-25,2025-09-26,33.26,33.2599983215332,2025-09-05 13:30 UTC,$2.10,2.0977117179041467,$1.89-$2.31,1.887940546113732,2.3074828896945614,82.0%,,,0.5422495400032138,,,$1.77-$2.86,1.775,2.8606,5,15-85pct_13m,19
XYZY,D,QQQ,2025-09-25,2025-09-26,9.32,9.319999694824219,2025-09-05 13:30 UTC,$0.38,0.38274669484199836,$0.34-$0.42,0.34447202535779853,0.42102136432619824,53.4%,,,0.13426042116988168,,,$0.44-$1.06,0.44055,1.065,18,15-85pct_13m,19
YQQQ,D,QQQ,2025-09-25,2025-09-26,13.35,13.348999977111816,2025-09-05 13:30 UTC,$0.23,0.23002205364393383,$0.21-$0.25,0.20701984827954045,0.25302425900832726,22.4%,,,0.13426042116988168,,,$0.24-$0.44,0.2356,0.4376,13,15-85pct_13m,19
BRKC,A,BRK-B,2025-10-02,2025-10-03,48.10,48.099998474121094,2025-09-05 13:30 UTC,$0.88,0.8842081342340297,$0.80-$0.97,0.7957873208106268,0.9726289476574327,23.9%,,,0.1578282507352859,,,$0.54-$0.88,0.5357,0.8822,3,15-85pct_13m,26
CRSH,A,TSLA,2025-10-02,2025-10-03,3.79,3.7899999618530273,2025-09-05 13:30 UTC,$0.14,0.1425447686964036,$0.13-$0.16,0.12829029182676324,0.15679924556604397,48.9%,,,0.3557285990554676,,,$0.23-$0.91,0.2308,0.9111999999999999,17,15-85pct_13m,26
FEAT,A,,2025-10-02,2025-10-03,32.61,32.61199951171875,2025-09-05 13:30 UTC,$1.46,1.4641327486839453,$1.32-$1.61,1.3177194738155509,1.61054602355234,58.4%,,,,,,$1.17-$1.86,1.1684,1.8583999999999998,9,15-85pct_13m,26
FIVY,A,,2025-10-02,2025-10-03,36.82,36.81700134277344,2025-09-05 13:30 UTC,$1.03,1.0330969252459419,$0.93-$1.14,0.9297872327213477,1.136406617770536,36.5%,,,,,,$0.98-$1.18,0.9832,1.1824,9,15-85pct_13m,26
GOOY,A,GOOGL,2025-10-02,2025-10-03,13.87,13.869999885559082,2025-09-05 13:30 UTC,$0.64,0.6394078814516687,$0.58-$0.70,0.5754670933065018,0.7033486695968356,59.9%,,,0.30791345163758044,,,$0.31-$0.64,0.3094,0.6435,19,15-85pct_13m,26
OARK,A,ARKK,2025-10-02,2025-10-03,8.47,8.470000267028809,2025-09-05 13:30 UTC,$0.30,0.30244396753646546,$0.27-$0.33,0.2721995707828189,0.33268836429011206,46.4%,,,0.30224095801336615,,,$0.29-$0.44,0.289,0.43959999999999994,19,15-85pct_13m,26
RBLY,A,RBLX,2025-10-02,2025-10-03,51.30,51.30099868774414,2025-09-05 13:30 UTC,$1.86,1.8581324022276817,$1.67-$2.04,1.6723191620049136,2.04394564245045,47.1%,,,0.619395439168974,,,$2.07-$2.07,2.073,2.073,1,15-85pct_13m,26
SNOY,A,SNOW,2025-10-02,2025-10-03,15.00,15.0,2025-09-05 13:30 UTC,$0.89,0.8932688093500629,$0.80-$0.98,0.8039419284150566,0.9825956902850693,77.4%,,,0.6753750338611405,,,$0.52-$1.24,0.5245,1.23925,16,15-85pct_13m,26
TSLY,A,TSLA,2025-10-02,2025-10-03,7.73,7.730000019073486,2025-09-05 13:30 UTC,$0.38,0.3843266956822229,$0.35-$0.42,0.3458940261140006,0.4227593652504452,64.6%,,,0.3557285990554676,,,$0.40-$1.03,0.4,1.0312999999999999,19,15-85pct_13m,26
TSMY,A,TSM,2025-10-02,2025-10-03,15.30,15.300000190734863,2025-09-05 13:30 UTC,$0.45,0.4504459018377595,$0.41-$0.50,0.4054013116539836,0.4954904920215355,38.3%,,,0.2941981994668448,,,$0.51-$0.89,0.5066,0.8912,13,15-85pct_13m,26
XOMO,A,XOM,2025-10-02,2025-10-03,11.69,11.6899995803833,2025-09-05 13:30 UTC,$0.26,0.26226202686722516,$0.24-$0.29,0.23603582418050265,0.2884882295539477,29.2%,,,0.17800945166899468,,,$0.25-$0.37,0.2473,0.3653,19,15-85pct_13m,26
YBIT,A,BITO,2025-10-02,2025-10-03,9.71,9.710000038146973,2025-09-05 13:30 UTC,$0.27,0.2702559839233232,$0.24-$0.30,0.24323038553099086,0.2972815823156555,36.2%,,,0.33926863119138717,,,$0.39-$1.08,0.393,1.0776,17,15-85pct_13m,26
